timestamp,lacc_x,lacc_y,lacc_z
3931266,0,-5,-4
3931276,-1,-4,0
3931346,-2,-4,1
3931356,0,-5,-2
3931366,-2,-3,-5
3931376,0,-1,-4
3931386,1,-6,-2
3931396,0,-5,-1
3931406,1,-6,-4
3931416,1,-4,-5
3931426,1,-5,0
3931436,-2,-5,-2
3931446,0,-4,-1
3931456,0,-6,-1
3931466,-3,-4,-3
3931476,0,-5,-2
3931486,0,-3,-2
3931496,0,-4,-2
3931506,-1,-6,-1
3931516,1,-5,-5
3931526,-1,-7,-3
3931536,2,-4,-3
3931546,-1,-6,-3
3931556,0,-4,-2
3931566,1,-3,-3
3931576,-2,-5,-1
3931586,-1,-7,-1
3931596,-1,-6,-2
3931606,0,-5,-2
3931616,-1,-7,0
3931626,0,-6,-3
3931636,0,-6,-1
3931646,1,-5,-4
3931656,0,-7,-1
3931666,1,-4,-2
3931676,-20,-12,-12
3931686,12,-1,0
3931696,-12,-12,-1
3931766,5,-5,-6
3931776,-5,-6,-1
3931786,-2,-1,8
3931796,3,-4,-14
3931806,-3,-4,7
3931816,0,-4,-4
3931826,0,-5,3
3931836,1,-8,-5
3931846,-2,-7,1
3931856,1,-3,-4
3931866,0,-7,-2
3931876,0,-5,-4
3931886,-2,-9,-1
3931896,-14,-7,0
3931906,21,0,-4
3931916,32,2,-4
3931926,33,4,-26
3931936,0,-7,3
3931946,-9,-8,1
3931956,-11,-7,-16
3931966,0,-5,-5
3931976,20,0,0
3931986,-1,-7,-7
3931996,2,-3,-22
3932006,-7,-8,16
3932016,9,-6,-18
3932026,0,-4,0
3932036,0,-3,-8
3932046,-7,-7,3
3932056,-1,-6,-5
3932066,0,-5,-3
3932076,4,-3,-4
3932086,0,-7,0
3932096,0,-6,-2
3932106,-2,-9,-1
3932116,2,-3,-4
3932126,-9,-10,5
3932136,20,6,-4
3932146,17,0,22
3932156,0,0,-23
3932166,9,-2,13
3932176,5,-3,-21
3932186,-4,-6,-18
3932196,-1,-6,0
3932206,-2,-7,0
3932216,0,-4,-6
3932226,-2,-3,11
3932236,9,1,-20
3932246,-10,-11,9
3932256,0,-6,-3
3932266,-2,-7,4
3932276,6,-4,-9
3932286,-1,-5,-3
3932296,1,-4,-6
3932306,-1,-8,3
3932316,2,-5,-6
3932326,0,-5,-1
3932336,0,-6,-6
3932346,-2,-6,0
3932356,0,-4,-1
3932366,1,-5,-3
3932376,2,-4,-2
3932386,-1,-4,0
3932396,-3,-5,-3
3932406,-1,-7,-2
3932416,1,-2,-3
3932426,2,-4,-4
3932436,0,-4,-2
3932446,-2,-3,0
3932456,0,-6,-3
3932466,0,-4,-4
3932476,1,-6,-1
3932486,-1,-4,-4
3932496,0,-5,-2
3932506,-1,-6,-1
3932516,0,-4,-3
3932526,0,-3,-3
3932536,0,-5,-2
3932546,0,-5,-3
3932556,0,-5,0
3932566,0,-5,-3
3932576,-1,-4,0
3932586,1,-5,-2
3932596,1,-5,-2
3932606,0,-5,-5
3932616,0,-5,-5
3932626,-1,-5,-4
3932636,-1,-6,-1
3932646,1,-6,1
3932656,-1,-6,0
3932666,0,-7,0
3932676,2,-6,-3
3932686,-1,-5,-2
3932696,2,-5,-2
3932706,-1,-2,-2
3932716,1,-5,-1
3932726,0,-4,-2
3932736,-2,-5,-2
